"city","neighbourhood_cleansed","avg_accommodates","avg_total_price","avg_price_per_guest"
Tokyo,Chiyoda Ku,3,140.110000,37.4700000000000
New York,Williamsbridge,2,83.530000,36.6300000000000
New York,Throgs Neck,4,120.140000,36.5500000000000
Tokyo,Toshima Ku,4,131.140000,36.0700000000000
New York,St. George,3,112.490000,35.5900000000000
Tokyo,Akiruno Shi,4,161.430000,34.8300000000000
Tokyo,Suginami Ku,4,122.410000,34.7500000000000
Tokyo,Taito Ku,4,145.710000,34.7300000000000
Tokyo,Sumida Ku,4,130.920000,33.7300000000000
Tokyo,Nerima Ku,3,103.200000,32.5100000000000
Tokyo,Nakano Ku,4,129.890000,32.3500000000000
New York,Coney Island,3,87.280000,30.5600000000000
Tokyo,Kokubunji Shi,3,93.800000,30.4100000000000
Tokyo,Chofu Shi,4,117.650000,29.7500000000000
Tokyo,Adachi Ku,4,107.800000,28.9000000000000
Tokyo,Ota Ku,4,105.360000,28.8800000000000
Tokyo,Koto Ku,5,125.720000,28.0200000000000
Tokyo,Itabashi Ku,4,105.130000,27.6400000000000
Tokyo,Kita Ku,4,111.360000,27.5600000000000
Tokyo,Arakawa Ku,3,88.380000,27.2200000000000
Tokyo,Kunitachi Shi,5,179.090000,26.8000000000000
Tokyo,Higashimurayama Shi,4,89.240000,25.7700000000000
Tokyo,Edogawa Ku,5,116.480000,23.7000000000000
Tokyo,Hino Shi,4,67.580000,23.2500000000000
Tokyo,Katsushika Ku,6,127.580000,23.0500000000000
Tokyo,Hachioji Shi,4,97.200000,22.8800000000000
Tokyo,Komae Shi,8,176.090000,22.8600000000000
Tokyo,Ome Shi,5,125.550000,22.3000000000000
Tokyo,Tachikawa Shi,3,68.020000,21.6900000000000
Tokyo,Nishitokyo Shi,5,107.870000,21.3700000000000
Tokyo,Fuchu Shi,4,78.980000,20.6700000000000
Tokyo,Machida Shi,4,84.200000,20.6000000000000
